episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
124,0.0,32,0.6105,2.427663275739178e-05,-0.005695107858628035,0.005611243657767773,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
125,0.0,14,0.6073333333333333,2.0318233509897254e-05,-0.004182970616966486,0.0049384706653654575,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
126,0.0,44,0.6041666666666667,1.4388710042112507e-05,0.0014285205397754908,0.004526149015873671,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
127,0.0,16,0.601,6.3527936617902014e-06,-0.0012290601152926683,0.0022572213783860207,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
128,0.0,15,0.5978333333333333,1.357616565655917e-05,-0.00212883111089468,0.003643462434411049,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
129,0.0,10,0.5946666666666667,1.2015381798846647e-05,-0.00010021583875641227,0.0032226312905550003,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
130,0.0,14,0.5915,1.0354853657190688e-05,0.0023659016005694866,0.003332820488139987,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
131,0.0,11,0.5883333333333334,1.6009858882171102e-05,-0.0019178481306880713,0.004136988427489996,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
132,0.0,10,0.5851666666666667,1.1508778698043898e-05,0.00039844977436587214,0.0031587746925652027,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
133,0.0,11,0.5820000000000001,1.2259411960258149e-05,-0.003754238598048687,0.003225201740860939,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
134,0.0,11,0.5788333333333333,5.1394586080277804e-06,0.0007686629542149603,0.0020918543450534344,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
135,0.0,10,0.5756666666666668,1.6354804756701924e-05,0.004874363075941801,0.003872421570122242,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
136,0.0,50,0.5725,5.55515498490422e-06,0.00025497941533103585,0.002217540517449379,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
137,0.0,17,0.5693333333333334,4.81396091345232e-06,0.0008393460302613676,0.0024911025539040565,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
138,0.0,17,0.5661666666666667,6.516091161756776e-06,0.002808334305882454,0.002785135991871357,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
139,0.0,17,0.563,1.2184571460238658e-05,-0.0029717525467276573,0.00368105317465961,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
140,0.0,18,0.5598333333333334,5.864195827598451e-06,0.00252272910438478,0.0021140591707080603,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
141,0.0,9,0.5566666666666666,1.1438389265094884e-05,-0.002685834188014269,0.002976098097860813,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
142,0.0,13,0.5535000000000001,8.421160600846633e-06,-0.0014140123967081308,0.002683314960449934,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
143,0.0,11,0.5503333333333333,1.6545200196560472e-05,0.0012686147820204496,0.004270731471478939,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
144,0.0,15,0.5471666666666667,8.542151590518188e-06,-0.0023771084379404783,0.0036862995475530624,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
145,0.0,14,0.544,2.4741162633290514e-05,-0.006871562916785479,0.0065045589581131935,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
146,0.0,10,0.5408333333333333,2.4268712877528742e-05,0.006074966862797737,0.006460416596382856,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
147,0.0,14,0.5376666666666667,1.8963266484206542e-05,0.004458988085389137,0.00550848338752985,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
148,0.0,15,0.5345,1.1805874237325042e-05,-0.0019360303413122892,0.0027498574927449226,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
149,0.0,13,0.5313333333333333,1.1164890565851238e-05,-0.0039498694241046906,0.004256190732121468,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
150,0.0,14,0.5281666666666667,9.5484392659273e-06,-0.0013917966280132532,0.0031845844350755215,,,0.0,0.0,11.1,dqn,cartpole,sparse,0.1,0.9,5,
151,0.0,11,0.525,9.804649380384944e-06,0.003237207420170307,0.002899858634918928,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
152,0.0,10,0.5218333333333334,7.798444130457938e-06,0.0014635068364441395,0.0028133606538176537,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
153,0.0,26,0.5186666666666666,1.3253824363346212e-05,-0.0048517873510718346,0.004345993977040052,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
154,0.0,15,0.5155000000000001,1.053919731930364e-05,-0.0038522551767528057,0.0036573028191924095,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
155,0.0,25,0.5123333333333333,9.99305302684661e-06,-0.0008520153351128101,0.0034640461672097445,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
156,0.0,17,0.5091666666666667,5.024295205657836e-06,-0.002299882471561432,0.0025704223662614822,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
157,0.0,26,0.506,1.0497644325369038e-05,-0.0017485830467194319,0.00352589413523674,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
158,0.0,12,0.5028333333333334,8.830194929032587e-06,0.0018115397542715073,0.0034094732254743576,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
159,0.0,20,0.4996666666666667,9.274217518395744e-06,-0.002653507050126791,0.0033144564367830753,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
160,0.0,18,0.49650000000000005,9.909344953484833e-06,-0.0021695070900022984,0.0030762068927288055,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
161,0.0,17,0.4933333333333334,8.831661943986546e-06,-0.0012826586607843637,0.0025139329954981804,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
162,0.0,25,0.49016666666666675,6.071391453588149e-06,-3.292114706709981e-05,0.0028392006643116474,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
163,0.0,14,0.487,7.141951755329501e-06,8.758221520110965e-05,0.002993399277329445,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
164,0.0,13,0.48383333333333334,8.144788807840087e-06,0.0034455719869583845,0.0033011608757078648,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
165,0.0,11,0.4806666666666667,1.111813253373839e-05,-0.0035553332418203354,0.003913279622793198,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
