seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,beta
8,DQN_RND,0.01,0.99,9.460000038146973,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.460000038146973,397.0710642699996,cartpole,dense,cartpole_dense,1.0
9,DQN_RND,0.01,0.99,180.5399932861328,0.0099999997764825,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,180.5399932861328,404.1764134600016,cartpole,dense,cartpole_dense,1.0
0,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,26.459999084472656,347.56897946200115,cartpole,sparse,cartpole_sparse,0.1
1,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.31999969482422,344.33334958699925,cartpole,sparse,cartpole_sparse,0.1
2,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,27.189998626708984,358.83026424999844,cartpole,sparse,cartpole_sparse,0.1
3,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,354.1375378490011,cartpole,sparse,cartpole_sparse,0.1
4,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.359999656677246,354.36091843900067,cartpole,sparse,cartpole_sparse,0.1
5,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,70.0199966430664,364.3660584040008,cartpole,sparse,cartpole_sparse,0.1
6,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,21.0,356.0047252149998,cartpole,sparse,cartpole_sparse,0.1
7,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,346.5540722540027,cartpole,sparse,cartpole_sparse,0.1
8,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,20.279998779296875,352.5491602229995,cartpole,sparse,cartpole_sparse,0.1
9,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,19.35999870300293,358.026660214,cartpole,sparse,cartpole_sparse,0.1
0,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,27.03999900817871,356.8852529890028,cartpole,sparse,cartpole_sparse,1.0
1,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.31999969482422,353.6765151250001,cartpole,sparse,cartpole_sparse,1.0
2,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,27.479999542236328,361.33480613400025,cartpole,sparse,cartpole_sparse,1.0
3,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,356.5860646309993,cartpole,sparse,cartpole_sparse,1.0
4,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.359999656677246,355.10297532700133,cartpole,sparse,cartpole_sparse,1.0
5,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,62.37999725341797,362.09550766699977,cartpole,sparse,cartpole_sparse,1.0
6,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,20.920000076293945,347.0475200100009,cartpole,sparse,cartpole_sparse,1.0
7,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,346.9377882049994,cartpole,sparse,cartpole_sparse,1.0
8,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,20.209999084472656,353.84376515299664,cartpole,sparse,cartpole_sparse,1.0
9,DQN_RND,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,27.69999885559082,358.7651954559988,cartpole,sparse,cartpole_sparse,1.0
0,DQN_RND,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,17.440000534057617,358.4797923000005,cartpole,sparse,cartpole_sparse,0.1
1,DQN_RND,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.31999969482422,355.7877994070004,cartpole,sparse,cartpole_sparse,0.1
2,DQN_RND,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,25.60999870300293,360.1013513049984,cartpole,sparse,cartpole_sparse,0.1
3,DQN_RND,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,355.42544145699867,cartpole,sparse,cartpole_sparse,0.1
